№,Команда,И,В,Н,П,РГ,Г,О
1.,Зенит,30,20,8,2,34,53:19,68
2.,Краснодар,30,20,6,4,37,60:23,66
3.,Локомотив Москва,30,14,11,5,15,54:39,53
4.,Спартак Москва,30,15,7,8,8,47:39,52
5.,ЦСКА Москва,30,15,6,9,11,44:33,51
6.,Балтика,30,11,13,6,17,38:21,46
7.,Динамо Москва,30,12,9,9,11,51:40,45
8.,Рубин Казань,30,11,10,9,-1,29:30,43
9.,Ахмат,30,9,10,11,-4,35:39,37
10.,ФК Ростов,30,8,9,13,-7,25:32,33
11.,Крылья Советов,30,8,8,14,-15,35:50,32
12.,Оренбург,30,7,8,15,-15,29:44,29
13.,Акрон,30,6,9,15,-18,35:53,27
14.,Динамо Махачкала,30,5,11,14,-18,19:37,26
15.,Пари Нижний Новгород,30,6,5,19,-24,26:50,23
16.,Сочи,30,6,4,20,-31,29:60,22
